x-axis,y-axis,precipitation,air_temp,ocean_temp,ocean_salinity,ice_mask
1824000,2796800,666.612487793,269.166320801,,,4.0
1945600,2796800,691.591003418,269.761993408,,,4.0
2067200,2796800,711.06262207,270.35168457,,,4.0
2188800,2796800,735.531921387,270.867401123,,,4.0
2310400,2796800,760.216552734,271.294403076,,,4.0
2432000,2796800,769.893859863,271.62612915,,,4.0
2553600,2796800,769.861206055,271.830291748,,,4.0
2675200,2796800,765.005065918,271.916870117,,,4.0
2796800,2796800,756.807800293,271.938232422,,,4.0
2918400,2796800,755.354675293,271.915924072,,,4.0
3040000,2796800,781.428161621,271.777587891,,,4.0
-3040000,2675200,852.854919434,274.934082031,,,4.0
-2918400,2675200,826.55065918,274.575683594,,,4.0
-2796800,2675200,785.170349121,274.171112061,,,4.0
-2675200,2675200,744.165466309,273.705718994,,,4.0
-2553600,2675200,691.265380859,273.366790771,,,4.0
-2432000,2675200,631.255737305,273.205322266,,,4.0
-2310400,2675200,606.735168457,272.821136475,,,4.0
-2188800,2675200,617.879272461,271.856536865,,,4.0
-2067200,2675200,628.228637695,270.592285156,,,4.0
-1945600,2675200,620.431884766,269.485046387,273.316986084,13.860004425,4.0
-1824000,2675200,595.044006348,268.61328125,273.094177246,13.9579381943,4.0
-1702400,2675200,557.596679688,267.971160889,272.902801514,14.0098352432,4.0
-1580800,2675200,530.352783203,267.500915527,272.748352051,13.9981145859,4.0
-1459200,2675200,505.027618408,267.084625244,272.631103516,13.9089794159,4.0
-1337600,2675200,486.895385742,266.711151123,272.561523438,13.735285759,4.0
-1216000,2675200,482.526641846,266.408325195,272.524475098,13.4726400375,4.0
-1094400,2675200,482.302246094,266.250823975,272.505371094,13.1170682907,4.0
-972800,2675200,462.070251465,266.349731445,272.488037109,12.670217514,4.0
-851200,2675200,435.080963135,266.525970459,272.464691162,12.1381311417,4.0
-729600,2675200,440.037353516,266.366210938,272.454956055,11.5344305038,4.0
-608000,2675200,459.024780273,265.841339111,272.440124512,10.867606163,4.0
-486400,2675200,475.15927124,265.274475098,272.419372559,10.154583931,4.0
-364800,2675200,475.335906982,264.658111572,272.384979248,9.40248775482,4.0
-243200,2675200,447.927368164,264.070251465,272.352355957,8.60892486572,4.0
-121600,2675200,435.992523193,263.542419434,272.361816406,7.75181722641,4.0
0,2675200,448.086608887,263.207794189,272.386932373,6.814245224,4.0
121600,2675200,469.718994141,263.114532471,272.434234619,5.87405109406,4.0
243200,2675200,484.164733887,263.01953125,272.4949646,5.09469509125,4.0
364800,2675200,487.257171631,263.040863037,272.552307129,4.59251880646,4.0
486400,2675200,503.420379639,263.1925354,272.584350586,4.37912130356,4.0
608000,2675200,519.518066406,263.365234375,272.583068848,4.40136003494,4.0
729600,2675200,524.202758789,263.73449707,272.618255615,4.60039281845,4.0
851200,2675200,503.641021729,264.448455811,272.68963623,4.9637298584,4.0
972800,2675200,494.595703125,265.247894287,272.817260742,5.4679017067,4.0
1094400,2675200,507.838867188,265.89352417,272.967254639,6.0101890564,4.0
1216000,2675200,528.431335449,266.473419189,273.162384033,6.45041561127,4.0
1337600,2675200,552.581298828,266.949737549,273.388214111,6.67446708679,4.0
1459200,2675200,572.338317871,267.471374512,273.523651123,6.63178300858,4.0
1580800,2675200,593.632446289,268.031219482,273.58392334,6.3571472168,4.0
1702400,2675200,631.142883301,268.595214844,273.648254395,5.92928123474,4.0
1824000,2675200,654.627624512,269.178375244,273.737976074,5.42608356476,4.0
1945600,2675200,688.861022949,269.790252686,273.855926514,4.91055345535,4.0
2067200,2675200,717.79119873,270.443450928,,,4.0
2188800,2675200,743.377075195,271.039642334,,,4.0
2310400,2675200,764.558532715,271.526977539,,,4.0
2432000,2675200,773.580505371,271.921722412,,,4.0
2553600,2675200,777.777709961,272.197814941,,,4.0
2675200,2675200,778.410400391,272.350830078,,,4.0
2796800,2675200,769.062011719,272.432739258,,,4.0
2918400,2675200,758.170227051,272.460449219,,,4.0
3040000,2675200,765.458435059,272.334838867,,,4.0
-3040000,2553600,825.505737305,275.204589844,,,4.0
-2918400,2553600,785.356933594,274.893432617,,,4.0
-2796800,2553600,750.906433105,274.692169189,,,4.0
-2675200,2553600,728.206665039,274.198242188,,,4.0
-2553600,2553600,696.703369141,273.788421631,,,4.0
-2432000,2553600,657.229064941,273.526855469,,,4.0
-2310400,2553600,642.390136719,272.992431641,,,4.0
-2188800,2553600,651.477539062,271.826904297,,,4.0
-2067200,2553600,652.502746582,270.363372803,273.43762207,13.9772510529,4.0
-1945600,2553600,642.947509766,269.197937012,273.372741699,14.1988153458,4.0
-1824000,2553600,617.233764648,268.345855713,272.881256104,14.3220615387,4.0
-1702400,2553600,579.973754883,267.735076904,272.724365234,14.4376602173,4.0
-1580800,2553600,551.235290527,267.25213623,272.588531494,14.4710273743,4.0
-1459200,2553600,525.636413574,266.810546875,272.490234375,14.4151325226,4.0
-1337600,2553600,504.189086914,266.398681641,272.488555908,14.2671546936,4.0
-1216000,2553600,494.54006958,266.090209961,272.485321045,14.0172042847,4.0
-1094400,2553600,489.704589844,265.956634521,272.50302124,13.6597127914,4.0
-972800,2553600,464.734008789,266.080718994,272.49508667,13.1963739395,4.0
-851200,2553600,440.206787109,266.188842773,272.462219238,12.6351461411,4.0
-729600,2553600,454.020233154,265.933227539,272.459472656,11.9924182892,4.0
-608000,2553600,483.230865479,265.299041748,272.456573486,11.2815589905,4.0
-486400,2553600,494.189239502,264.563720703,272.440948486,10.5294752121,4.0
-364800,2553600,484.416381836,263.723510742,272.354156494,9.75707435608,4.0
-243200,2553600,465.446380615,263.033050537,272.307556152,8.96703720093,4.0
-121600,2553600,461.214813232,262.582489014,272.322692871,8.08525085449,4.0
0,2553600,477.179168701,262.329498291,272.349151611,6.95347833633,4.0
121600,2553600,509.504516602,262.299255371,272.394866943,5.63954782486,4.0
243200,2553600,527.234436035,262.231262207,272.44241333,4.58936166763,4.0
364800,2553600,527.183410645,262.069854736,272.515930176,4.0414557457,4.0
486400,2553600,530.261413574,262.117889404,272.629425049,3.94860577583,4.0
608000,2553600,538.691955566,262.40145874,272.657867432,4.10503578186,4.0
729600,2553600,553.464172363,262.93963623,272.692382812,4.37340497971,4.0
851200,2553600,533.687744141,263.892944336,272.745269775,4.8603143692,4.0
972800,2553600,511.797943115,264.937072754,272.837036133,5.62737321854,4.0
1094400,2553600,517.445007324,265.698577881,272.966705322,6.50781965256,4.0
