x-axis,y-axis,precipitation,air_temp,ocean_temp,ice_thickness
-1824000,364800,714.69921875,257.058197021,272.167266846,282.781738281
-1702400,364800,811.730285645,250.702423096,271.663818359,1057.4831543
-1580800,364800,395.080749512,246.610076904,271.597290039,2330.26000977
-1459200,364800,259.271514893,246.112579346,271.508209229,1083.08569336
-1337600,364800,248.429489136,244.936141968,271.426452637,774.099487305
-1216000,364800,194.672180176,243.37461853,271.370056152,830.483093262
-1094400,364800,162.992431641,242.298843384,271.449859619,744.818237305
-972800,364800,186.324279785,241.36920166,271.524902344,935.000671387
-851200,364800,231.097930908,241.73739624,271.592529297,1075.11706543
-729600,364800,259.168731689,242.196868896,271.650604248,1199.63903809
-608000,364800,189.586776733,241.690505981,271.605224609,607.511047363
-486400,364800,137.565963745,238.685180664,271.756530762,1891.27868652
-364800,364800,112.000534058,235.436309814,271.806121826,2442.6184082
-243200,364800,86.2559356689,231.481903076,271.712127686,1931.36877441
-121600,364800,66.4940185547,228.325180054,271.978759766,2558.90454102
0,364800,49.9219093323,225.035217285,271.971038818,2448.97875977
121600,364800,43.6493492126,223.857696533,272.017547607,2793.63525391
243200,364800,42.4571685791,224.463348389,272.059661865,2382.32226562
364800,364800,31.1238861084,221.508544922,272.113098145,3713.99584961
486400,364800,27.6090297699,218.748748779,272.163726807,2990.33300781
608000,364800,24.7326278687,218.168395996,272.21383667,2815.78564453
729600,364800,19.3485774994,215.175323486,272.263214111,2901.19384766
851200,364800,18.3259983063,214.175415039,272.312042236,3234.00708008
972800,364800,26.0583343506,215.671524048,272.363891602,2995.74731445
1094400,364800,36.5241622925,220.451202393,272.411132812,2574.78173828
1216000,364800,64.4457397461,226.12928772,272.432647705,1358.50146484
1337600,364800,70.6272354126,228.072601318,272.800506592,3382.78149414
1459200,364800,65.5854797363,231.440734863,272.819488525,3510.12719727
1580800,364800,58.140247345,233.438293457,272.406555176,1938.24633789
1702400,364800,66.110748291,234.234466553,272.361785889,1900.08898926
1824000,364800,93.9148025513,235.275390625,272.345703125,1993.67358398
1945600,364800,105.952209473,237.489959717,272.360198975,1946.91186523
2067200,364800,146.379760742,240.075897217,272.424804688,1650.97814941
2188800,364800,222.825164795,243.805007935,272.588897705,1724.91430664
2310400,364800,298.449554443,247.994003296,272.97958374,1517.07678223
2432000,364800,587.09185791,260.062591553,273.431976318,360.417266846
-1702400,243200,844.206054688,250.265960693,271.669067383,1346.2845459
-1580800,243200,417.42755127,246.373443604,271.657287598,3007.85229492
-1459200,243200,303.296142578,246.461410522,271.684844971,1016.38092041
-1337600,243200,294.222137451,245.079620361,271.527893066,519.452209473
-1216000,243200,199.389526367,243.623840332,271.442718506,845.476013184
-1094400,243200,144.870635986,243.494659424,271.585540771,634.293457031
-972800,243200,172.593338013,246.171325684,271.586761475,1221.44433594
-851200,243200,176.908798218,244.54296875,271.63293457,1703.90917969
-729600,243200,194.268341064,243.861938477,271.676025391,2069.53125
-608000,243200,180.350784302,241.168731689,271.743438721,898.548034668
-486400,243200,162.54246521,238.478317261,271.782440186,386.958679199
-364800,243200,133.657714844,234.378219604,271.841644287,1388.58752441
-243200,243200,103.274536133,230.109451294,271.743988037,2937.46020508
-121600,243200,73.3032608032,227.57270813,271.94329834,2941.80444336
0,243200,56.7974510193,225.140594482,271.817016602,3595.78125
121600,243200,50.884185791,223.859268188,271.977539062,2587.85327148
243200,243200,37.065246582,222.746688843,272.010772705,2510.60571289
364800,243200,30.8342914581,220.446563721,272.064331055,2762.94970703
486400,243200,26.000535965,218.598236084,272.113006592,3120.60620117
608000,243200,21.5526294708,218.36920166,272.16192627,2464.90454102
729600,243200,14.8797388077,215.589447021,272.210754395,2990.63427734
851200,243200,13.7465362549,214.660446167,272.260345459,2439.32958984
972800,243200,16.8433132172,214.412277222,272.316131592,2370.15234375
1094400,243200,28.873966217,217.850799561,272.376861572,1921.90661621
1216000,243200,60.3807525635,222.975799561,272.46963501,2202.98022461
1337600,243200,59.6166687012,226.021408081,272.642608643,2896.43261719
1459200,243200,55.311000824,228.507598877,272.439453125,2716.17944336
1580800,243200,55.8308296204,229.324920654,272.390686035,2528.74462891
1702400,243200,64.6178436279,230.22328186,272.384735107,2381.578125
1824000,243200,83.009223938,231.255340576,272.397491455,2389.53393555
1945600,243200,90.6885223389,232.964035034,272.442260742,2453.4987793
2067200,243200,132.405471802,235.691375732,272.531188965,2296.54199219
2188800,243200,203.543029785,239.653076172,272.68862915,2121.62207031
2310400,243200,331.160430908,244.499359131,273.167358398,2038.55480957
2432000,243200,491.97454834,251.360229492,273.226104736,1231.81286621
2553600,243200,673.980712891,258.402770996,273.060577393,289.254547119
-1824000,121600,1182.20397949,256.413757324,271.930206299,293.579467773
-1702400,121600,458.218841553,248.385665894,271.710845947,1566.96191406
-1580800,121600,358.308074951,246.378326416,271.698272705,2130.06640625
-1459200,121600,366.122711182,245.433151245,271.658172607,2293.27124023
