x-axis,y-axis,precipitation,air_temp,ocean_temp,ice_thickness
1216000,2553600,583.142822266,266.966003418,273.580200195,0.0
1337600,2553600,616.805053711,267.390441895,273.848999023,0.0
1459200,2553600,672.233459473,267.844116211,273.93560791,0.0
1580800,2553600,718.442260742,268.390930176,273.946746826,0.0
1702400,2553600,759.051574707,268.943695068,273.962005615,0.0
1824000,2553600,804.225952148,269.537567139,274.015380859,0.0
1945600,2553600,848.949035645,270.151519775,274.116729736,0.0
2067200,2553600,891.78302002,270.78503418,274.244384766,0.0
-2188800,2432000,646.96270752,270.994842529,273.779449463,0.0
-2067200,2432000,645.666381836,269.698944092,273.380981445,0.0
-1945600,2432000,649.546081543,268.721679688,273.120880127,0.0
-1824000,2432000,629.670898438,267.958404541,272.946868896,0.0
-1702400,2432000,591.524475098,267.364837646,272.865264893,0.0
-1580800,2432000,580.239257812,266.723480225,272.83026123,0.0
-1459200,2432000,571.872924805,265.969665527,272.81137085,0.0
-1337600,2432000,546.436523438,265.293762207,272.796936035,0.0
-1216000,2432000,521.008300781,264.82723999,272.787719727,0.0
-1094400,2432000,506.11138916,264.638305664,272.80847168,0.0
-972800,2432000,482.674530029,264.557495117,272.790313721,0.0
-851200,2432000,443.964141846,264.527404785,272.789031982,0.0
-729600,2432000,424.933410645,264.586334229,272.789276123,0.0
-608000,2432000,417.266448975,264.61807251,272.753967285,0.0
-486400,2432000,392.560791016,264.700775146,272.710723877,0.0
-364800,2432000,366.070953369,264.74029541,272.642272949,0.0
-243200,2432000,365.610748291,264.751068115,272.605621338,0.0
-121600,2432000,380.323822021,264.863220215,272.613769531,0.0
0,2432000,398.369018555,264.998565674,272.653564453,0.0
121600,2432000,406.202453613,265.105621338,272.704193115,0.0
243200,2432000,410.374176025,265.209533691,272.736572266,0.0
364800,2432000,407.128845215,265.129852295,272.747619629,0.0
486400,2432000,405.952392578,264.936065674,272.781860352,0.0
608000,2432000,416.842590332,265.339660645,272.831756592,0.0
729600,2432000,449.700775146,265.844940186,272.90246582,0.0
851200,2432000,473.739746094,266.032348633,272.985015869,0.0
972800,2432000,496.647277832,266.231933594,273.05267334,0.0
1094400,2432000,531.564758301,266.467498779,273.178833008,0.0
1216000,2432000,569.476318359,266.811645508,273.350952148,0.0
1337600,2432000,607.483337402,267.31350708,273.632720947,0.0
1459200,2432000,649.212097168,267.756896973,273.807556152,0.0
1580800,2432000,690.932800293,268.226959229,273.829528809,0.0
1702400,2432000,737.766967773,268.736297607,273.92401123,0.0
1824000,2432000,790.448913574,269.291534424,273.984130859,0.0
1945600,2432000,844.53704834,269.9480896,274.099456787,0.0
2067200,2432000,892.927978516,270.658111572,274.211486816,0.0
2188800,2432000,917.392578125,271.39440918,274.401550293,0.0
-2310400,2310400,558.648986816,271.189178467,274.045288086,0.0
-2188800,2310400,629.953369141,270.156311035,273.618225098,0.0
-2067200,2310400,619.531616211,268.907409668,273.194244385,0.0
-1945600,2310400,617.004882812,267.915863037,272.969909668,0.0
-1824000,2310400,594.478820801,267.152984619,272.843475342,0.0
-1702400,2310400,552.193359375,266.538574219,272.789733887,0.0
-1580800,2310400,530.35723877,265.895996094,272.737884521,0.0
-1459200,2310400,519.606872559,265.198791504,272.702697754,0.0
-1337600,2310400,492.14263916,264.627502441,272.694671631,0.0
-1216000,2310400,461.953338623,264.262969971,272.695129395,0.0
-1094400,2310400,450.7684021,264.140045166,272.70135498,0.0
-972800,2310400,431.072387695,264.061523438,272.690460205,0.0
-851200,2310400,398.597198486,263.939849854,272.668121338,0.0
-729600,2310400,387.801055908,263.958007812,272.640625,0.0
-608000,2310400,377.64276123,264.018890381,272.591094971,0.0
-486400,2310400,363.272766113,264.128997803,272.565704346,0.0
-364800,2310400,357.779907227,264.123413086,272.523864746,0.0
-243200,2310400,359.546691895,264.030151367,272.477600098,0.0
-121600,2310400,384.079315186,264.119171143,272.448303223,0.0
0,2310400,399.108947754,264.121398926,272.473693848,0.0
121600,2310400,404.238494873,264.322631836,272.517150879,0.0
243200,2310400,419.113464355,264.605834961,272.572052002,0.0
364800,2310400,413.756256104,264.65057373,272.584136963,0.0
486400,2310400,392.217071533,264.428192139,272.572235107,0.0
608000,2310400,392.958007812,264.315551758,272.573272705,0.0
729600,2310400,413.683288574,264.869781494,272.634277344,0.0
851200,2310400,437.725280762,265.420043945,272.745178223,0.0
972800,2310400,442.802368164,265.815673828,272.855804443,0.0
1094400,2310400,477.750183105,266.148620605,272.956085205,0.0
1216000,2310400,535.800842285,266.53894043,273.038208008,0.0
1337600,2310400,587.294616699,267.046630859,273.199859619,0.0
1459200,2310400,617.053222656,267.488983154,273.301483154,0.0
1580800,2310400,649.679931641,268.029937744,273.464508057,0.0
1702400,2310400,704.708251953,268.415100098,273.677215576,0.0
1824000,2310400,764.999206543,268.78616333,273.838928223,0.0
1945600,2310400,819.31640625,269.352600098,273.979370117,0.0
2067200,2310400,864.35925293,269.98638916,274.122253418,0.0
2188800,2310400,900.656738281,270.782714844,274.267883301,0.0
2310400,2310400,926.02911377,271.517700195,274.443389893,0.0
-2432000,2188800,673.701843262,270.912902832,274.192108154,0.0
-2310400,2188800,620.413452148,270.233123779,273.718109131,0.0
-2188800,2188800,589.188049316,269.349456787,273.382019043,0.0
-2067200,2188800,576.635620117,268.210784912,273.012878418,0.0
-1945600,2188800,585.667480469,267.209838867,272.837402344,0.0
-1824000,2188800,574.258056641,266.417999268,272.73046875,0.0
-1702400,2188800,529.65222168,265.732055664,272.651977539,0.0
-1580800,2188800,494.352325439,265.103942871,272.592926025,0.0
-1459200,2188800,471.095397949,264.489776611,272.589080811,0.0
-1337600,2188800,443.373077393,263.997497559,272.590637207,0.0
-1216000,2188800,414.599029541,263.660522461,272.58505249,0.0
-1094400,2188800,399.937561035,263.471435547,272.571136475,0.0
-972800,2188800,380.471405029,263.298431396,272.547027588,0.0
-851200,2188800,349.853088379,263.113067627,272.526306152,0.0
-729600,2188800,352.569213867,263.131378174,272.491729736,0.0
-608000,2188800,350.600646973,263.313690186,272.444946289,0.0
-486400,2188800,350.225616455,263.439331055,272.437347412,0.0
-364800,2188800,396.511230469,263.287994385,272.423370361,0.0
-243200,2188800,434.959655762,262.733581543,272.451751709,0.0
-121600,2188800,436.197692871,261.585906982,272.460266113,0.0
0,2188800,403.362182617,255.222930908,272.468902588,0.0
121600,2188800,437.285949707,260.191833496,272.928741455,0.0
243200,2188800,388.587188721,261.395141602,273.101837158,0.0
364800,2188800,372.779785156,261.924621582,272.887237549,0.0
486400,2188800,370.217895508,262.852783203,272.786682129,0.0
608000,2188800,362.450439453,262.247741699,272.642852783,0.0
729600,2188800,407.468109131,263.812561035,272.449493408,0.0
851200,2188800,420.354919434,264.543731689,272.519561768,0.0
972800,2188800,435.868591309,264.984832764,272.601501465,0.0
1094400,2188800,466.66809082,265.544494629,272.677612305,0.0
1216000,2188800,527.089050293,266.059326172,272.760650635,0.0
1337600,2188800,583.409790039,266.621582031,272.814086914,0.0
1459200,2188800,601.787841797,267.291168213,272.886566162,0.0
1580800,2188800,638.081970215,268.085174561,273.095947266,0.0
1702400,2188800,692.627746582,268.428375244,273.375579834,0.0
1824000,2188800,753.188537598,268.61328125,273.628051758,0.0
1945600,2188800,801.945373535,268.903900146,273.820251465,0.0
2067200,2188800,849.840515137,269.279144287,273.97064209,0.0
2188800,2188800,887.430664062,269.967254639,274.115753174,0.0
2310400,2188800,907.859191895,270.806671143,274.272399902,0.0
2432000,2188800,946.760009766,271.606048584,274.506958008,0.0
-2553600,2067200,679.767822266,271.398895264,274.384460449,0.0
-2432000,2067200,619.730163574,270.124389648,273.825744629,0.0
-2310400,2067200,571.329650879,269.184265137,273.439544678,0.0
-2188800,2067200,545.758300781,268.323028564,273.09375,0.0
-2067200,2067200,538.33380127,267.311767578,272.85256958,0.0
-1945600,2067200,557.659790039,266.38961792,272.679656982,0.0
-1824000,2067200,550.786254883,265.560455322,272.581848145,0.0
-1702400,2067200,501.877380371,264.891571045,272.513580322,0.0
-1580800,2067200,452.374908447,264.315948486,272.499847412,0.0
-1459200,2067200,419.764190674,263.739440918,272.497833252,0.0
-1337600,2067200,385.838745117,263.249725342,272.492523193,0.0
-1216000,2067200,358.888061523,262.862762451,272.468536377,0.0
-1094400,2067200,350.750152588,262.582183838,272.44732666,0.0
-972800,2067200,338.689575195,262.363372803,272.428192139,0.0
-851200,2067200,312.500976562,262.16192627,272.395721436,0.0
-729600,2067200,312.913024902,262.211547852,272.363769531,0.0
-608000,2067200,330.036987305,262.404571533,272.321228027,0.0
-486400,2067200,359.968536377,262.678009033,272.309997559,0.0
-364800,2067200,399.858459473,258.919281006,272.38482666,0.0
