x-axis,y-axis,precipitation,air_temp,ocean_temp,ice_velocity
243200,1702400,49.0438308716,227.169616699,272.989257812,7.34343004227
364800,1702400,46.0491256714,226.408157349,273.134246826,2.77080798149
486400,1702400,55.4937057495,228.133758545,273.264190674,11.0503358841
608000,1702400,80.3740005493,231.550888062,273.392974854,18.5864486694
729600,1702400,63.2227325439,234.770721436,273.499938965,18.2375907898
851200,1702400,175.857757568,237.102676392,273.537841797,0.935231089592
972800,1702400,97.9282150269,243.360778809,273.475738525,721.446472168
1094400,1702400,62.3743057251,245.460876465,273.00680542,10.2421951294
1216000,1702400,74.440826416,246.012069702,272.61831665,5.63099908829
1337600,1702400,480.80368042,248.961685181,272.348602295,19.3915214539
1459200,1702400,168.17401123,251.58442688,272.406677246,39.6466445923
1580800,1702400,220.257553101,248.385604858,273.108978271,12.0047807693
1702400,1702400,624.417053223,253.01121521,273.306488037,24.7894687653
1824000,1702400,848.758911133,259.982971191,272.946655273,23.4680519104
-608000,1580800,209.775390625,248.550308228,272.202209473,175.348709106
-486400,1580800,128.305084229,249.526519775,272.111602783,11.4663925171
-364800,1580800,115.058418274,243.98387146,272.226715088,0.22090703249
-243200,1580800,38.1810455322,234.470825195,272.324890137,4.00450229645
-121600,1580800,48.424369812,229.970169067,272.437988281,9.14762210846
0,1580800,46.7939224243,228.068481445,272.576629639,4.69593858719
121600,1580800,47.1180953979,226.806915283,272.719909668,4.89049720764
243200,1580800,44.0685081482,225.474609375,272.850189209,4.11941766739
364800,1580800,38.7322731018,223.911209106,272.979400635,1.39760005474
486400,1580800,46.2278366089,224.119995117,273.090087891,2.20953035355
608000,1580800,63.7371673584,226.141479492,273.186157227,6.15530490875
729600,1580800,84.0306243896,228.447753906,273.25189209,5.21997308731
851200,1580800,155.627426147,232.122360229,273.255828857,26.854227066
972800,1580800,112.553207397,236.339752197,273.151062012,5.47227954865
1094400,1580800,81.7354202271,238.452087402,272.956237793,3.29320383072
1216000,1580800,151.616485596,239.178253174,272.752807617,4.09900522232
1337600,1580800,205.875289917,241.683990479,272.636138916,127.149421692
1459200,1580800,168.645172119,242.343002319,272.731689453,43.0770339966
1580800,1580800,184.3565979,241.112075806,273.008911133,14.1061735153
1702400,1580800,349.100189209,243.875549316,273.206756592,6.00994539261
1824000,1580800,412.660064697,250.367507935,273.381256104,0.0191224366426
1945600,1580800,494.989562988,254.62727356,273.842803955,2.05459117889
2067200,1580800,521.186157227,253.654846191,274.257080078,0.0295065529644
-608000,1459200,367.658843994,248.726318359,271.787780762,409.898345947
-486400,1459200,375.548309326,247.89781189,271.738189697,21.4544677734
-364800,1459200,125.710464478,240.171569824,272.080169678,11.0037994385
-243200,1459200,39.1991233826,233.462234497,272.172180176,8.82947540283
-121600,1459200,41.970615387,230.337463379,272.402038574,15.2131309509
0,1459200,39.2539749146,228.400222778,272.465698242,18.3870429993
121600,1459200,37.0308990479,226.939575195,272.601531982,10.5324602127
243200,1459200,34.5406417847,225.280975342,272.714904785,7.57717657089
364800,1459200,34.5479125977,223.300323486,272.827423096,4.62257051468
486400,1459200,31.031211853,222.184661865,272.920257568,2.18599009514
608000,1459200,31.2565898895,222.172332764,272.994750977,0.337153941393
729600,1459200,47.6911849976,223.669448853,273.040802002,4.17024087906
851200,1459200,87.631072998,227.536865234,273.044250488,24.6781349182
972800,1459200,95.1656036377,230.240325928,272.990386963,30.6848144531
1094400,1459200,84.4104309082,231.564956665,272.898040771,7.21349287033
1216000,1459200,109.054931641,233.134216309,272.807342529,36.4150505066
1337600,1459200,148.012893677,235.229827881,272.7734375,41.7189750671
1459200,1459200,140.136398315,235.818069458,272.837341309,33.9114265442
1580800,1459200,135.257781982,235.777709961,272.992095947,4.47627544403
1702400,1459200,220.001068115,239.072113037,273.165863037,35.1449394226
