-3040000	3040000	0	NaN	4	623.096984863	293.07232666	9.96920996839e+36
-2918400	3040000	0	NaN	4	588.433776855	274.435211182	9.96920996839e+36
-2796800	3040000	0	NaN	4	590.319702148	273.986785889	9.96920996839e+36
-2675200	3040000	0	NaN	4	575.820495605	273.516876221	9.96920996839e+36
-2553600	3040000	0	NaN	4	564.509094238	273.002929688	9.96920996839e+36
-2432000	3040000	0	NaN	4	564.930297852	272.39654541	9.96920996839e+36
-2310400	3040000	0	NaN	4	567.061401367	271.696411133	9.96920996839e+36
-2188800	3040000	0	NaN	4	552.141113281	271.053314209	9.96920996839e+36
-2067200	3040000	0	NaN	4	534.138793945	270.491577148	9.96920996839e+36
-1945600	3040000	0	NaN	4	527.725158691	269.951629639	9.96920996839e+36
-1824000	3040000	0	NaN	4	518.644470215	269.334686279	9.96920996839e+36
-1702400	3040000	0	NaN	4	524.544189453	268.62902832	9.96920996839e+36
-1580800	3040000	0	NaN	4	546.046081543	267.955169678	9.96920996839e+36
-1459200	3040000	0	NaN	4	562.463806152	267.389892578	9.96920996839e+36
-1337600	3040000	0	NaN	4	566.466491699	266.947753906	273.282806396
-1216000	3040000	0	NaN	4	556.576965332	266.655029297	273.17779541
-1094400	3040000	0	NaN	4	537.875183105	266.483886719	273.101379395
-972800	3040000	0	NaN	4	530.922973633	266.368469238	273.055664062
-851200	3040000	0	NaN	4	542.101501465	266.213409424	273.029907227
-729600	3040000	0	NaN	4	573.356628418	265.998840332	273.015991211
-608000	3040000	0	NaN	4	601.514404297	265.76449585	273.007263184
-486400	3040000	0	NaN	4	616.568237305	265.536743164	273.004425049
-364800	3040000	0	NaN	4	624.247070312	265.329406738	273.001495361
-243200	3040000	0	NaN	4	624.497131348	265.196350098	273.00177002
-121600	3040000	0	NaN	4	622.357543945	265.152740479	273.010986328
0	3040000	0	NaN	4	610.450378418	265.155090332	273.032348633
121600	3040000	0	NaN	4	598.165344238	265.209960938	273.097351074
243200	3040000	0	NaN	4	597.797668457	265.317321777	273.210357666
364800	3040000	0	NaN	4	605.073974609	265.412658691	273.273132324
486400	3040000	0	NaN	4	620.355712891	265.53112793	273.365661621
608000	3040000	0	NaN	4	638.337463379	265.717163086	273.490509033
729600	3040000	0	NaN	4	643.531616211	265.956420898	273.631530762
851200	3040000	0	NaN	4	632.850891113	266.213562012	273.714599609
972800	3040000	0	NaN	4	631.029296875	266.487457275	273.773284912
1094400	3040000	0	NaN	4	662.88494873	266.831817627	273.822113037
1216000	3040000	0	NaN	4	718.623779297	267.259979248	273.919006348
1337600	3040000	0	NaN	4	762.535644531	267.731811523	274.05166626
1459200	3040000	0	NaN	4	787.180969238	268.128753662	9.96920996839e+36
1580800	3040000	0	NaN	4	794.504577637	268.525512695	9.96920996839e+36
1702400	3040000	0	NaN	4	796.642944336	269.012481689	9.96920996839e+36
1824000	3040000	0	NaN	4	796.581359863	269.585021973	9.96920996839e+36
1945600	3040000	0	NaN	4	800.246154785	270.190368652	9.96920996839e+36
2067200	3040000	0	NaN	4	822.664367676	270.725250244	9.96920996839e+36
2188800	3040000	0	NaN	4	842.714477539	271.148803711	9.96920996839e+36
2310400	3040000	0	NaN	4	857.103515625	271.513580322	9.96920996839e+36
2432000	3040000	0	NaN	4	869.773376465	271.834991455	9.96920996839e+36
2553600	3040000	0	NaN	4	870.054748535	272.117614746	9.96920996839e+36
2675200	3040000	0	NaN	4	866.938110352	272.302825928	9.96920996839e+36
2796800	3040000	0	NaN	4	876.357543945	272.34664917	9.96920996839e+36
2918400	3040000	0	NaN	4	880.002441406	272.24786377	9.96920996839e+36
3040000	3040000	0	NaN	4	909.581848145	290.068603516	9.96920996839e+36
-3040000	2918400	0	NaN	4	590.554199219	274.904876709	9.96920996839e+36
-2918400	2918400	0	NaN	4	603.254150391	274.514007568	9.96920996839e+36
-2796800	2918400	0	NaN	4	611.32623291	274.076202393	9.96920996839e+36
-2675200	2918400	0	NaN	4	607.199401855	273.618743896	9.96920996839e+36
-2553600	2918400	0	NaN	4	599.681884766	273.132446289	9.96920996839e+36
-2432000	2918400	0	NaN	4	599.207824707	272.572601318	9.96920996839e+36
-2310400	2918400	0	NaN	4	593.876953125	271.941894531	9.96920996839e+36
-2188800	2918400	0	NaN	4	577.634765625	271.295654297	9.96920996839e+36
-2067200	2918400	0	NaN	4	556.455627441	270.659667969	9.96920996839e+36
