-3040000	3040000	NaN
-2918400	3040000	NaN
-2796800	3040000	NaN
-2675200	3040000	NaN
-2553600	3040000	NaN
-2432000	3040000	NaN
-2310400	3040000	NaN
-2188800	3040000	NaN
-2067200	3040000	NaN
-1945600	3040000	NaN
-1824000	3040000	NaN
-1702400	3040000	NaN
-1580800	3040000	NaN
-1459200	3040000	NaN
-1337600	3040000	272.705383301
-1216000	3040000	272.611724854
-1094400	3040000	272.541992188
-972800	3040000	272.491638184
-851200	3040000	272.446899414
-729600	3040000	272.416656494
-608000	3040000	272.407684326
-486400	3040000	272.400238037
-364800	3040000	272.389526367
-243200	3040000	272.386291504
-121600	3040000	272.388580322
0	3040000	272.414489746
121600	3040000	272.482452393
243200	3040000	272.526489258
364800	3040000	272.594940186
486400	3040000	272.617492676
608000	3040000	272.547241211
729600	3040000	272.618743896
851200	3040000	272.775054932
972800	3040000	272.932434082
1094400	3040000	273.127868652
1216000	3040000	273.311584473
1337600	3040000	273.42565918
1459200	3040000	NaN
1580800	3040000	NaN
1702400	3040000	NaN
1824000	3040000	NaN
1945600	3040000	NaN
2067200	3040000	NaN
2188800	3040000	NaN
2310400	3040000	NaN
2432000	3040000	NaN
2553600	3040000	NaN
2675200	3040000	NaN
2796800	3040000	NaN
2918400	3040000	NaN
3040000	3040000	NaN
-3040000	2918400	NaN
-2918400	2918400	NaN
-2796800	2918400	NaN
-2675200	2918400	NaN
-2553600	2918400	NaN
-2432000	2918400	NaN
-2310400	2918400	NaN
-2188800	2918400	NaN
-2067200	2918400	NaN
-1945600	2918400	NaN
-1824000	2918400	NaN
-1702400	2918400	NaN
-1580800	2918400	272.942596436
-1459200	2918400	272.800628662
-1337600	2918400	272.681945801
-1216000	2918400	272.594177246
-1094400	2918400	272.534088135
-972800	2918400	272.49105835
-851200	2918400	272.457000732
-729600	2918400	272.443664551
-608000	2918400	272.434692383
-486400	2918400	272.415588379
-364800	2918400	272.401428223
-243200	2918400	272.399261475
-121600	2918400	272.406036377
0	2918400	272.428985596
121600	2918400	272.485870361
243200	2918400	272.523834229
364800	2918400	272.571624756
486400	2918400	272.546386719
608000	2918400	272.488220215
729600	2918400	272.599243164
851200	2918400	272.732574463
972800	2918400	272.856750488
1094400	2918400	273.063964844
1216000	2918400	273.296936035
1337600	2918400	273.448486328
1459200	2918400	273.512207031
1580800	2918400	273.562225342
1702400	2918400	NaN
1824000	2918400	NaN
1945600	2918400	NaN
2067200	2918400	NaN
2188800	2918400	NaN
2310400	2918400	NaN
2432000	2918400	NaN
2553600	2918400	NaN
2675200	2918400	NaN
2796800	2918400	NaN
2918400	2918400	NaN
3040000	2918400	NaN
-3040000	2796800	NaN
-2918400	2796800	NaN
-2796800	2796800	NaN
-2675200	2796800	NaN
-2553600	2796800	NaN
-2432000	2796800	NaN
-2310400	2796800	NaN
-2188800	2796800	NaN
-2067200	2796800	NaN
-1945600	2796800	NaN
-1824000	2796800	NaN
-1702400	2796800	273.032440186
-1580800	2796800	272.866790771
-1459200	2796800	272.732727051
-1337600	2796800	272.634033203
-1216000	2796800	272.567718506
-1094400	2796800	272.524810791
-972800	2796800	272.489746094
-851200	2796800	272.467285156
-729600	2796800	272.457855225
-608000	2796800	272.440612793
-486400	2796800	272.41619873
-364800	2796800	272.401397705
-243200	2796800	272.390441895
-121600	2796800	272.395141602
0	2796800	272.417602539
121600	2796800	272.467468262
243200	2796800	272.517303467
364800	2796800	272.541442871
486400	2796800	272.500030518
608000	2796800	272.463989258
729600	2796800	272.555877686
851200	2796800	272.67590332
972800	2796800	272.819885254
1094400	2796800	273.000274658
