x-axis,y-axis,precipitation,precip_1,precip_2,precip_3,precip_4,precip_5,precip_6,precip_7,precip_8
-1702400,2918400,533.323669434,520.369628906,544.931213379,559.712280273,545.603759766,551.482055664,548.289489746,544.703857422,519.145629883
-1580800,2918400,545.603759766,544.931213379,559.712280273,560.937744141,555.681030273,570.650512695,551.482055664,548.289489746,533.323669434
-1459200,2918400,555.681030273,559.712280273,560.937744141,546.317932129,542.687744141,562.595397949,570.650512695,551.482055664,545.603759766
-1337600,2918400,542.687744141,560.937744141,546.317932129,525.335876465,525.326416016,552.481445312,562.595397949,570.650512695,555.681030273
-1216000,2918400,525.326416016,546.317932129,525.335876465,515.289245605,524.845275879,548.237548828,552.481445312,562.595397949,542.687744141
-1094400,2918400,524.845275879,525.335876465,515.289245605,506.943145752,517.680786133,531.500854492,548.237548828,552.481445312,525.326416016
-972800,2918400,517.680786133,515.289245605,506.943145752,501.92364502,506.736999512,503.270812988,531.500854492,548.237548828,524.845275879
-851200,2918400,506.736999512,506.943145752,501.92364502,511.163726807,506.89364624,492.418182373,503.270812988,531.500854492,517.680786133
-729600,2918400,506.89364624,501.92364502,511.163726807,519.699035645,501.260864258,477.838470459,492.418182373,503.270812988,506.736999512
-608000,2918400,501.260864258,511.163726807,519.699035645,521.374023438,487.0027771,459.710388184,477.838470459,492.418182373,506.89364624
-486400,2918400,487.0027771,519.699035645,521.374023438,530.660461426,497.007904053,465.215118408,459.710388184,477.838470459,501.260864258
-364800,2918400,497.007904053,521.374023438,530.660461426,541.443603516,517.234802246,477.976287842,465.215118408,459.710388184,487.0027771
-243200,2918400,517.234802246,530.660461426,541.443603516,533.43359375,516.704345703,486.154266357,477.976287842,465.215118408,497.007904053
-121600,2918400,516.704345703,541.443603516,533.43359375,523.63470459,513.388916016,479.421295166,486.154266357,477.976287842,517.234802246
0,2918400,513.388916016,533.43359375,523.63470459,518.752380371,513.037841797,473.427307129,479.421295166,486.154266357,516.704345703
121600,2918400,513.037841797,523.63470459,518.752380371,508.150024414,502.63192749,469.937988281,473.427307129,479.421295166,513.388916016
