x-axis,y-axis,ice_thickness,precipitation,air_temp,ocean_temp,dist,temp_diff,air_roll,ocean_roll,precip_roll
243200,3040000,0.0,508.150024414,265.163391113,272.740631104,3049712.4848090187,7.577239990999999,265.0952148436667,272.7598571776667,506.78522237149997
364800,3040000,0.0,504.425445557,265.278106689,272.806335449,3061809.7654818464,7.52822875999999,265.23802185049993,272.81276448566666,500.01069641116663
486400,3040000,0.0,501.648498535,265.40914917,272.89465332,3078666.10076507,7.485504149999997,265.4062906898334,272.888829549,495.59197489433336
608000,3040000,0.0,498.575592041,265.585327148,272.972930908,3100203.8642644132,7.387603760000047,265.62003580716663,272.974685669,496.7838846841667
729600,3040000,0.0,513.290710449,265.832733154,273.04864502,3126326.3041467695,7.215911865999999,265.8716430663333,273.0703633626667,509.33031209316664
851200,3040000,0.0,547.595214844,266.117797852,273.138305664,3156919.612533712,7.0205078119999484,266.134165446,273.21250915549996,535.4326731365001
972800,3040000,0.0,584.740112305,266.383300781,273.356781006,3191855.2348125065,6.973480225000003,266.38153076183335,273.38839721683337,570.546020508
1094400,3040000,0.0,624.694274902,266.61227417,273.564025879,3230992.318158618,6.951751709000007,266.6257222493333,273.5693766276667,611.6111958821667
1216000,3040000,0.0,678.544250488,266.875305176,273.696838379,3274180.2027377784,6.821533203000001,266.9055989583333,273.7141571045,657.9170633951668
1337600,3040000,0.0,732.7890625,267.223876953,273.818084717,3321260.8690074314,6.594207763999975,267.256729126,1.661534994731667e+36,704.9486592611667
1459200,3040000,0.0,766.453735352,267.645629883,9.969209968390001e+36,3372071.26852325,9.969209968390001e+36,267.68338012699996,3.323069989463334e+36,741.8214823406666
1580800,3040000,0.0,780.931884766,268.123291016,9.969209968390001e+36,3426445.481836826,9.969209968390001e+36,268.161331177,6.646139978926668e+36,767.0061848958334
1702400,3040000,0.0,797.230224609,268.642974854,9.969209968390001e+36,3484216.663756719,9.969209968390001e+36,268.67733256033335,8.307674973658334e+36,783.0826009115
1824000,3040000,0.0,803.022460938,269.205291748,9.969209968390001e+36,3545218.7520659426,9.969209968390001e+36,269.2152811688333,9.969209968390001e+36,796.5791931151666
1945600,3040000,0.0,806.630187988,269.75869751,9.969209968390001e+36,3609287.929772298,9.969209968390001e+36,269.7701822916667,9.969209968390001e+36,808.5839131673333
2067200,3040000,0.0,817.553039551,270.301757812,9.969209968390001e+36,3676263.842544493,9.969209968390001e+36,270.32761637383334,9.969209968390001e+36,824.5768534341668
2188800,3040000,0.0,846.530700684,270.837127686,9.969209968390001e+36,3745990.581942245,9.969209968390001e+36,270.84841410333337,9.969209968390001e+36,851.109608968
2310400,3040000,0.0,889.405212402,271.272796631,9.969209968390001e+36,3818317.451443764,9.969209968390001e+36,271.30641682966666,9.969209968390001e+36,886.1369425454999
2432000,3040000,0.0,919.341674805,271.641204834,9.969209968390001e+36,3893099.536359172,9.969209968390001e+36,271.67716979983334,9.969209968390001e+36,915.9831034341668
2553600,3040000,0.0,921.22467041,271.942169189,9.969209968390001e+36,3970198.100850888,9.969209968390001e+36,271.9715474445,9.969209968390001e+36,923.4071655275001
2675200,3040000,0.0,893.696838379,272.164245605,9.969209968390001e+36,4049480.8358603204,9.969209968390001e+36,272.1905670165,9.969209968390001e+36,906.1626993816668
2796800,3040000,0.0,856.487487793,272.320251465,9.969209968390001e+36,4130821.9811558085,9.969209968390001e+36,272.3175354005,9.969209968390001e+36,871.6427612305
2918400,3040000,0.0,815.508239746,272.338623047,9.969209968390001e+36,4214102.343322952,9.969209968390001e+36,275.3375498455,9.969209968390001e+36,837.4031575519999
3040000,3040000,0.0,820.287536621,290.24810791,9.969209968390001e+36,4299209.229614209,9.969209968390001e+36,276.827041626,9.969209968390001e+36,818.96655273425
-3040000,2918400,0.0,691.873291016,274.366882324,9.969209968390001e+36,4214102.343322952,9.969209968390001e+36,277.241572062,9.969209968390001e+36,702.6357421875
-2918400,2918400,0.0,707.027648926,273.988952637,9.969209968390001e+36,4127240.8604296404,9.969209968390001e+36,276.0221659341112,9.96920996839e+36,701.2880588107778
-2796800,2918400,0.0,706.536865234,273.543670654,9.969209968390001e+36,4042171.2977062217,9.969209968390001e+36,273.5355902777778,9.96920996839e+36,696.2434895834444
-2675200,2918400,0.0,697.119750977,272.956176758,9.969209968390001e+36,3959009.1689714487,9.969209968390001e+36,273.00445217555557,9.96920996839e+36,686.7040812175555
-2553600,2918400,0.0,677.850341797,272.395599365,9.969209968390001e+36,3877877.1924856002,9.969209968390001e+36,272.4492119682222,9.96920996839e+36,667.6438327367778
-2432000,2918400,0.0,644.612304688,271.899810791,9.969209968390001e+36,3798905.4423609967,9.969209968390001e+36,271.94264051644444,9.96920996839e+36,638.258246528
-2310400,2918400,0.0,602.731567383,271.488433838,9.969209968390001e+36,3722231.416771397,9.969209968390001e+36,271.4894510904444,9.96920996839e+36,600.2795138891111
-2188800,2918400,0.0,555.638061523,271.110748291,9.969209968390001e+36,3648000.0,9.969209968390001e+36,271.02587212466665,9.96920996839e+36,562.2185465495555
-2067200,2918400,0.0,520.727111816,270.577270508,9.969209968390001e+36,3576363.2925081872,9.969209968390001e+36,270.51055569122224,9.96920996839e+36,534.6005995007779
-1945600,2918400,0.0,509.561676025,269.984375,9.969209968390001e+36,3507480.2807713686,9.969209968390001e+36,269.9143337674444,9.96920996839e+36,524.4356146917778
-1824000,2918400,0.0,519.145629883,269.312713623,9.969209968390001e+36,3441516.316974249,9.969209968390001e+36,269.2747328016667,8.861519971902223e+36,529.419752332889
-1702400,2918400,0.0,533.323669434,268.650909424,9.969209968390001e+36,3378642.3782341923,9.969209968390001e+36,268.6176011827778,6.646139978926668e+36,540.8401760525554
-1580800,2918400,0.0,545.603759766,268.018676758,273.039855957,3319034.076354143,5.02117919899996,267.95811292866665,4.4307599859511117e+36,552.2901950412221
