x-axis,y-axis,ice_thickness,ice_velocity,ice_mask,precipitation,air_temp,ocean_temp,dist,temp_diff,air_roll,ocean_roll,precip_roll
486400,2918400,0.0,,4,489.494567871,265.36907959,272.883636475,2958655.694737054,7.51455688499999,265.3571065265555,272.8861965601111,493.4090949164444
608000,2918400,0.0,,4,485.694030762,265.618164062,272.975158691,2981060.643462323,7.356994628999985,265.5818684895555,272.9749213324444,496.8582424586667
729600,2918400,0.0,,4,491.999908447,265.905761719,273.0730896,3008217.864450645,7.167327881000006,265.84432644311113,273.08074951177775,508.3277994792222
851200,2918400,0.0,,4,518.826416016,266.170074463,273.214050293,3040000.0,7.043975830000022,266.11565483944446,273.2282036677778,531.3673672147778
972800,2918400,0.0,,4,556.143676758,266.395324707,273.44418335,3076263.7078117994,7.048858643000017,266.37048339855556,273.40531073677784,563.5005764433332
1094400,2918400,0.0,,4,591.276428223,266.610412598,273.613037109,3116852.566291835,7.002624511000022,266.62519666888886,273.585422092,600.7651977538889
1216000,2918400,0.0,,4,634.268432617,266.877716064,273.741394043,3161600.0,6.863677978999988,266.9162563748889,273.7333916557778,642.8725789387777
1337600,2918400,0.0,,4,685.929931641,267.234008789,273.8515625,3210332.1198904016,6.617553711000028,267.23161697387496,273.83493423475,679.34952545175
1459200,2918400,0.0,,4,731.706542969,267.683837891,273.939331055,3262870.392767693,6.255493164000029,267.6672232491428,273.9206717355714,716.1046229772858
1580800,2918400,0.0,,4,753.117736816,268.18963623,274.01373291,3319034.076354143,5.824096679999968,268.1411376952,273.982434082,741.099194336
-1702400,2796800,0.0,,4,548.289489746,268.503387451,273.130645752,3274180.2027377784,4.62725830100004,268.2082621255,273.05447387683336,566.8360493978333
-1580800,2796800,0.0,,4,551.482055664,267.861877441,272.999053955,3212634.258673091,5.137176514000032,267.713600158625,272.975292205875,565.169837951625
-1459200,2796800,0.0,,4,570.650512695,267.178833008,272.894195557,3154576.8147249166,5.715362548999963,267.1815694173334,272.90418158644445,564.3182169596668
-1337600,2796800,0.0,,4,562.595397949,266.602813721,272.824951172,3100203.8642644132,6.2221374509999805,266.6002231173333,272.83916558177776,562.7778252495556
-1216000,2796800,0.0,,4,552.481445312,266.115875244,272.779144287,3049712.4848090187,6.663269043000014,266.1009351941111,272.797217475,554.5335964626667
-1094400,2796800,0.0,,4,548.237548828,265.660217285,272.751861572,3003298.453367564,7.091644287000008,265.6751166448889,272.76900227855555,542.4568277994445
-972800,2796800,0.0,,4,531.500854492,265.279693604,272.741546631,2961153.504970656,7.461853027000018,265.3265448677777,272.75145806188885,525.0193684895555
-851200,2796800,0.0,,4,503.270812988,265.018035889,272.7394104,2923462.276137662,7.721374511000022,265.08436075866666,272.7460734048889,506.42087809244447
-729600,2796800,0.0,,4,492.418182373,264.884796143,272.757110596,2890399.0035979464,7.872314453000001,264.9455396865556,272.7492201062222,489.608879937
-608000,2796800,0.0,,4,477.838470459,264.834106445,272.771392822,2862124.078372564,7.937286377000021,264.8763156466667,272.74792819544444,476.48003472222223
-486400,2796800,0.0,,4,459.710388184,264.802490234,272.75100708,2838780.5832786723,7.948516846000018,264.84440782322224,272.7379998101111,468.06154378255553
-364800,2796800,0.0,,4,465.215118408,264.815002441,272.737915039,2820490.9643535465,7.922912597999982,264.81628757044444,272.721778022,467.51992458766665
-243200,2796800,0.0,,4,477.976287842,264.778594971,272.731445312,2807353.9997656154,7.952850340999987,264.809858534,272.7123040093333,474.3257887097777
-121600,2796800,0.0,,4,486.154266357,264.798828125,272.728424072,2799442.2301594294,7.929595946999996,264.8266330295555,272.7142706976667,478.4772983126667
0,2796800,0.0,,4,479.421295166,264.860565186,272.740966797,2796800.0,7.880401611000025,264.86402723533337,272.7304857042222,477.6364576552222
121600,2796800,0.0,,4,473.427307129,264.8777771,272.769775391,2799442.2301594294,7.891998290999993,264.91729736344445,272.75394354933337,473.5226881238889
243200,2796800,0.0,,4,469.937988281,264.943725586,272.775756836,2807353.9997656154,7.83203125,264.987382677,272.7867363823333,472.86030409066666
364800,2796800,0.0,,4,477.415039062,265.056213379,272.807647705,2820490.9643535465,7.751434326000037,265.1024271647778,272.83016628677774,477.9923977321111
486400,2796800,0.0,,4,489.463317871,265.238372803,272.876556396,2838780.5832786723,7.638183593000008,265.26558770066663,272.88988240544444,488.74133639866676
608000,2796800,0.0,,4,500.251647949,265.481628418,272.958587646,2862124.078372564,7.476959227999998,265.49489339188887,272.96698337133336,499.40918307833334
729600,2796800,0.0,,4,501.305908203,265.796600342,273.091033936,2890399.0035979464,7.294433593999997,265.76973130966667,273.06748792866665,511.4482659234444
851200,2796800,0.0,,4,517.410766602,266.09085083,273.254943848,2923462.276137662,7.16409301799996,266.0592515734445,273.20828586166664,529.2112935385554
972800,2796800,0.0,,4,550.993591309,266.348449707,273.432800293,2961153.504970656,7.084350586000028,266.3337063261111,273.38334147122225,554.1758829754446
1094400,2796800,0.0,,4,579.824707031,266.605865479,273.629669189,3003298.453367564,7.023803710000038,266.61885240344446,273.5717061358889,582.6769951714444
1216000,2796800,0.0,,4,606.401306152,266.918121338,273.79006958,3049712.4848090187,6.87194824200003,266.93865627711114,273.7398817272222,616.1736924913334
1337600,2796800,0.0,,4,652.124816895,267.288726807,273.895843506,3100203.8642644132,6.6071166990000165,267.321211073,273.8628641764444,658.964545356
1459200,2796800,0.0,,4,713.031860352,267.751342773,273.946350098,3154576.8147249166,6.195007325000006,267.7745259602222,273.93896145288886,703.193705241
1580800,2796800,0.0,,4,744.032409668,268.299133301,273.979797363,3212634.258673091,5.680664062000005,268.218723297,273.976245880125,735.89881896975
1702400,2796800,0.0,,4,763.607421875,268.781738281,274.032958984,3274180.2027377784,5.251220703000001,268.6526336668333,274.0016530353334,757.7308349608334
-1945600,2675200,0.0,,4,587.101135254,269.754547119,273.41418457,3307877.62772446,3.6596374509999805,269.4334045408,273.25402832,617.4946411134
-1824000,2675200,0.0,,4,593.201904297,268.978637695,273.196960449,3237849.755624865,4.218322754000042,268.7904183522857,273.117462158,600.5131138394287
-1702400,2675200,0.0,,4,586.335510254,268.269439697,273.036590576,3170940.0498905685,4.767150878999985,268.140895843375,273.014270782375,587.750122070375
-1580800,2675200,0.0,,4,576.10357666,267.617553711,272.923736572,3107349.944888731,5.306182860999968,267.5756157767778,272.9380391438889,580.9670884874445
-1459200,2675200,0.0,,4,587.212768555,266.91519165,272.85534668,3047287.265749654,5.940155030000028,266.9159240721111,272.8753492567778,579.3196411133333
-1337600,2675200,0.0,,4,586.847106934,266.295257568,272.837799072,2990964.5267037186,6.542541503999985,266.2998318141111,272.8368665907778,576.6945393880001
-1216000,2675200,0.0,,4,581.518005371,265.754241943,272.820129395,2938596.7807782,7.06588745199997,265.7766215005555,272.81617228188884,566.8745863172222
-1094400,2675200,0.0,,4,566.263427734,265.297302246,272.807983398,2890399.0035979464,7.510681151999961,265.3650071885556,272.79942491311107,550.6538357203333
