x-axis,y-axis,ice_thickness,ice_velocity,ice_mask,precipitation,air_temp,ocean_temp,dist,temp_diff,air_roll,ocean_roll,precip_roll
-1337600,3040000,0.0,,4,546.317932129,266.901916504,272.842254639,3321260.8690074314,5.94033813499999,266.30532291957144,272.85195813857143,545.4547827584821
-1216000,3040000,0.0,,4,525.335876465,266.538787842,272.781280518,3274180.2027377784,6.24249267600004,266.006910938339,272.8236192605932,533.461453712644
-1094400,3040000,0.0,,4,515.289245605,266.182617188,272.733276367,3230992.318158618,6.550659178999979,265.772712953629,272.8023002378387,521.4474585749032
-972800,3040000,0.0,,4,506.943145752,265.830535889,272.698181152,3191855.2348125065,6.867645263000043,265.543115139,272.7802414894219,510.672093391453
-851200,3040000,0.0,,4,501.92364502,265.492553711,272.672576904,3156919.612533712,7.180023192999954,265.32320838341536,272.7587674654616,500.8884615384923
-729600,3040000,0.0,,4,511.163726807,265.242523193,272.658416748,3126326.3041467695,7.415893554999968,265.1686479973182,272.74305678857576,491.4811327385455
-608000,3040000,0.0,,4,519.699035645,265.066436768,272.654907227,3100203.8642644132,7.588470459000007,265.0445639870454,272.7307554302727,482.51875675086364
-486400,3040000,0.0,,4,521.374023438,264.905426025,272.653167725,3078666.10076507,7.747741700000006,264.96770731612116,272.7253764759243,474.79810541327276
-364800,3040000,0.0,,4,530.660461426,264.760803223,272.652435303,3061809.7654818464,7.891632080000022,264.93314014784846,272.72394076260605,467.79275928843947
-243200,3040000,0.0,,4,541.443603516,264.693450928,272.652313232,3049712.4848090187,7.958862303999979,264.930252537606,272.72831957268187,462.90167652477277
-121600,3040000,0.0,,4,533.43359375,264.751617432,272.65524292,3042431.027977463,7.903625487999989,264.9502669825757,272.7400263006212,461.41440420439403
0,3040000,0.0,,4,523.63470459,264.894439697,272.675720215,3040000.0,7.781280518000017,265.0007130015909,272.7568336255758,462.0500261711212
121600,3040000,0.0,,4,518.752380371,265.020477295,272.719482422,3042431.027977463,7.699005127000021,265.08588663736367,272.7808694550909,464.9087760231212
243200,3040000,0.0,,4,508.150024414,265.163391113,272.740631104,3049712.4848090187,7.577239990999999,265.1969331683788,272.81666564943936,471.10702190972734
364800,3040000,0.0,,4,504.425445557,265.278106689,272.806335449,3061809.7654818464,7.52822875999999,265.33257548018184,272.87058188699996,480.24777175439397
486400,3040000,0.0,,4,501.648498535,265.40914917,272.89465332,3078666.10076507,7.485504149999997,265.4941910252879,272.9431721080455,491.51952523895454
608000,3040000,0.0,,4,498.575592041,265.585327148,272.972930908,3100203.8642644132,7.387603760000047,265.6808980306364,273.0319338711819,505.1473236083787
729600,3040000,0.0,,4,513.290710449,265.832733154,273.04864502,3126326.3041467695,7.215911865999999,265.8961694891213,273.134441491303,522.5524134780303
851200,3040000,0.0,,4,547.595214844,266.117797852,273.138305664,3156919.612533712,7.0205078119999484,266.12399245044617,273.2313669057693,541.1817448542769
972800,3040000,0.0,,4,584.740112305,266.383300781,273.356781006,3191855.2348125065,6.973480225000003,266.39133310321876,273.33110332484375,563.5088663101407
1094400,3040000,0.0,,4,624.694274902,266.61227417,273.564025879,3230992.318158618,6.951751709000007,266.6694646035645,273.4231966079678,585.7567227271452
1216000,3040000,0.0,,4,678.544250488,266.875305176,273.696838379,3274180.2027377784,6.821533203000001,266.9572091830169,273.50898665081354,608.0951931193729
1337600,3040000,0.0,,4,732.7890625,267.223876953,273.818084717,3321260.8690074314,6.594207763999975,267.2810609000357,273.60329110275,633.8011060442501
-1580800,2918400,0.0,,4,545.603759766,268.018676758,273.039855957,3319034.076354143,5.02117919899996,266.7865989947931,272.91478439856894,561.7155382880344
-1459200,2918400,0.0,,4,555.681030273,267.343841553,272.922912598,3262870.392767693,5.579071044999978,266.4500490219047,272.8699830070159,549.6177334256033
-1337600,2918400,0.0,,4,542.687744141,266.800079346,272.839782715,3210332.1198904016,6.039703368999994,266.1311968903134,272.8334883504627,537.0364780711045
-1216000,2918400,0.0,,4,525.326416016,266.395874023,272.77822876,3161600.0,6.382354737000014,265.8314697265858,272.8049826485572,523.8691406250431
-1094400,2918400,0.0,,4,524.845275879,265.986755371,272.735076904,3116852.566291835,6.748321532999967,265.5983472850411,272.7838368873151,510.8924719405891
-972800,2918400,0.0,,4,517.680786133,265.590942383,272.703765869,3076263.7078117994,7.112823485999968,265.37487141928,272.7619608561334,499.38678059898655
-851200,2918400,0.0,,4,506.736999512,265.236358643,272.683532715,3040000.0,7.447174071999996,265.1644564176973,272.7404106541974,488.9201844868157
-729600,2918400,0.0,,4,506.89364624,265.007751465,272.692962646,3008217.864450645,7.685211181,265.020016756948,272.7238789347922,479.252093822948
-608000,2918400,0.0,,4,501.260864258,264.87008667,272.714538574,2981060.643462323,7.844451904000039,264.90708626093505,272.7104650720519,470.36182750355835
-486400,2918400,0.0,,4,487.0027771,264.784667969,272.703918457,2958655.694737054,7.919250487999989,264.8419839438441,272.7035431304545,462.9945829317272
-364800,2918400,0.0,,4,497.007904053,264.746582031,272.699035645,2941111.6265793107,7.952453613999978,264.8184041605844,272.7006332595844,456.5788974514156
-243200,2918400,0.0,,4,517.234802246,264.713012695,272.697479248,2928515.8015622864,7.984466553000004,264.82357906988307,272.7030057040389,452.16165597098717
-121600,2918400,0.0,,4,516.704345703,264.771392822,272.693328857,2920932.2347497214,7.921936034999987,264.8470764160259,272.71179476654544,450.8039923333507
0,2918400,0.0,,4,513.388916016,264.851989746,272.704742432,2918400.0,7.852752685999974,264.8949592887662,272.7253263399481,451.4157845633248
