x-axis,y-axis,ice_velocity,precipitation,air_temp,ocean_temp,dist,temp_diff,air_roll,ocean_roll,precip_roll
-1216000,3040000,,525.335876465,266.538787842,272.781280518,3274180.2027377784,6.24249267600004,266.3278906686786,7.120864263135715e+35,542.1365716116786
-1094400,3040000,,515.289245605,266.182617188,272.733276367,3230992.318158618,6.550659178999979,265.91658347000003,3.5604321315678575e+35,533.2159249442144
-972800,3040000,,506.943145752,265.830535889,272.698181152,3191855.2348125065,6.867645263000043,265.5906938826071,272.75740814203573,521.6926509312501
-851200,3040000,,501.92364502,265.492553711,272.672576904,3156919.612533712,7.180023192999954,265.3339505877143,272.7401351928214,509.80532836917854
-729600,3040000,,511.163726807,265.242523193,272.658416748,3126326.3041467695,7.415893554999968,265.1351460048572,272.7276622226786,500.59790475032145
-608000,3040000,,519.699035645,265.066436768,272.654907227,3100203.8642644132,7.588470459000007,264.98978424078575,272.718913487,493.95736476360713
-486400,3040000,,521.374023438,264.905426025,272.653167725,3078666.10076507,7.747741700000006,264.9006151472143,272.7128840855,489.97640119285717
-364800,3040000,,530.660461426,264.760803223,272.652435303,3061809.7654818464,7.891632080000022,264.86138153075,272.7113963536072,488.29352024628577
-243200,3040000,,541.443603516,264.693450928,272.652313232,3049712.4848090187,7.958862303999979,264.85113852367857,272.71466282439286,486.6977353777857
-121600,3040000,,533.43359375,264.751617432,272.65524292,3042431.027977463,7.903625487999989,264.86570848739285,272.71975708014287,485.4397931780357
0,3040000,,523.63470459,264.894439697,272.675720215,3040000.0,7.781280518000017,264.90592411589284,272.7345831735,486.38328770228566
121600,3040000,,518.752380371,265.020477295,272.719482422,3042431.027977463,7.699005127000021,264.9740012033214,272.7614702496786,487.8358830043214
243200,3040000,,508.150024414,265.163391113,272.740631104,3049712.4848090187,7.577239990999999,265.07844434464283,272.79936218257143,489.08851296560715
364800,3040000,,504.425445557,265.278106689,272.806335449,3061809.7654818464,7.52822875999999,265.2197331019643,272.85059574675,491.1592766897857
486400,3040000,,501.648498535,265.40914917,272.89465332,3078666.10076507,7.485504149999997,265.3912952968214,272.91702597482146,497.039037432
608000,3040000,,498.575592041,265.585327148,272.972930908,3100203.8642644132,7.387603760000047,265.593598502,273.0062724522143,508.1591873169286
729600,3040000,,513.290710449,265.832733154,273.04864502,3126326.3041467695,7.215911865999999,265.81911686489286,273.12159075050005,524.4582497733571
851200,3040000,,547.595214844,266.117797852,273.138305664,3156919.612533712,7.0205078119999484,266.07315717425,273.25330897735716,545.0747876848571
972800,3040000,,584.740112305,266.383300781,273.356781006,3191855.2348125065,6.973480225000003,266.3574153355,273.3928713117143,571.2104470389644
1094400,3040000,,624.694274902,266.61227417,273.564025879,3230992.318158618,6.951751709000007,266.67528969903566,3.5604321315678575e+35,603.2134780884643
1216000,3040000,,678.544250488,266.875305176,273.696838379,3274180.2027377784,6.821533203000001,267.0260957990714,7.120864263135715e+35,637.9576655797499
1337600,3040000,,732.7890625,267.223876953,273.818084717,3321260.8690074314,6.594207763999975,267.4067317417857,1.424172852627143e+36,672.7071424212143
1459200,3040000,,766.453735352,267.645629883,9.969209968390001e+36,3372071.26852325,9.969209968390001e+36,267.82562146867855,2.4923024920975006e+36,705.6445508684643
1580800,3040000,,780.931884766,268.123291016,9.969209968390001e+36,3426445.481836826,9.969209968390001e+36,268.28663744242857,3.5604321315678573e+36,736.9002947126429
1702400,3040000,,797.230224609,268.642974854,9.969209968390001e+36,3484216.663756719,9.969209968390001e+36,268.7847290038929,4.984604984195001e+36,766.0716269357499
1824000,3040000,,803.022460938,269.205291748,9.969209968390001e+36,3545218.7520659426,9.969209968390001e+36,269.31801496235715,6.408777836822143e+36,790.7260807582858
1945600,3040000,,806.630187988,269.75869751,9.969209968390001e+36,3609287.929772298,9.969209968390001e+36,269.85991123746425,7.476907476292501e+36,812.4295872279287
2067200,3040000,,817.553039551,270.301757812,9.969209968390001e+36,3676263.842544493,9.969209968390001e+36,270.38540758410716,8.545037115762858e+36,836.6903969900715
2188800,3040000,,846.530700684,270.837127686,9.969209968390001e+36,3745990.581942245,9.969209968390001e+36,270.88461085728574,9.25712354207643e+36,861.6299830845713
2310400,3040000,,889.405212402,271.272796631,9.969209968390001e+36,3818317.451443764,9.969209968390001e+36,271.3412639073214,9.613166755233216e+36,882.2638702392858
2432000,3040000,,919.341674805,271.641204834,9.969209968390001e+36,3893099.536359172,9.969209968390001e+36,271.7417602539286,9.969209968390002e+36,895.3692626953215
2553600,3040000,,921.22467041,271.942169189,9.969209968390001e+36,3970198.100850888,9.969209968390001e+36,272.06627328060716,9.969209968390002e+36,898.5664847237501
2675200,3040000,,893.696838379,272.164245605,9.969209968390001e+36,4049480.8358603204,9.969209968390001e+36,272.9322880336429,9.969209968390002e+36,893.5741969516786
2796800,3040000,,856.487487793,272.320251465,9.969209968390001e+36,4130821.9811558085,9.969209968390001e+36,273.1687215169583,9.969209968390001e+36,896.3550186157082
2918400,3040000,,815.508239746,272.338623047,9.969209968390001e+36,4214102.343322952,9.969209968390001e+36,273.4178588867,9.969209968390001e+36,891.1741821289
3040000,3040000,,820.287536621,290.24810791,9.969209968390001e+36,4299209.229614209,9.969209968390001e+36,273.71219253543745,9.969209968390001e+36,876.8978042601875
-3040000,2918400,,691.873291016,274.366882324,9.969209968390001e+36,4214102.343322952,9.969209968390001e+36,274.94839172355,9.969209968390001e+36,688.23429870615
-2918400,2918400,,707.027648926,273.988952637,9.969209968390001e+36,4127240.8604296404,9.969209968390001e+36,274.48856445308,9.969209968390001e+36,684.9848681641201
-2796800,2918400,,706.536865234,273.543670654,9.969209968390001e+36,4042171.2977062217,9.969209968390001e+36,274.0928415933667,9.969209968390002e+36,678.6706583659667
-2675200,2918400,,697.119750977,272.956176758,9.969209968390001e+36,3959009.1689714487,9.969209968390001e+36,273.74996250694284,9.969209968390001e+36,668.676156180343
-2553600,2918400,,677.850341797,272.395599365,9.969209968390001e+36,3877877.1924856002,9.969209968390001e+36,272.74080025808576,9.969209968390001e+36,651.7183541434857
